,date,ticker,expected_returns
0,2020-06-30,IBM,-0.00046223402
1,2020-09-30,IBM,0.0015525818
2,2020-12-31,IBM,0.008427501
3,2021-03-31,IBM,0.004494965
4,2021-06-30,IBM,0.004494965
5,2021-09-30,IBM,0.01489985
6,2020-06-30,AAPL,0.11211571
7,2020-09-30,AAPL,-0.019338727
8,2020-12-31,AAPL,0.14187837
9,2021-03-31,AAPL,0.12475234
10,2021-06-30,AAPL,0.063792676
11,2021-09-30,AAPL,0.07450715
12,2020-06-30,MSFT,0.07734737
13,2020-09-30,MSFT,0.09658244
14,2020-12-31,MSFT,0.06623003
15,2021-03-31,MSFT,0.079788715
16,2021-06-30,MSFT,0.054328054
17,2021-09-30,MSFT,0.08290765
18,2020-06-30,JNJ,0.020794094
19,2020-09-30,JNJ,0.026167661
20,2020-12-31,JNJ,0.02164507
21,2021-03-31,JNJ,0.021727264
22,2021-06-30,JNJ,0.037689775
23,2021-09-30,JNJ,0.025508672
24,2020-06-30,AMZN,0.044285625
25,2020-09-30,AMZN,0.046114653
26,2020-12-31,AMZN,0.028314412
27,2021-03-31,AMZN,0.064243585
28,2021-06-30,AMZN,0.06321159
29,2021-09-30,AMZN,0.027672768
30,2020-06-30,GOOGL,-0.018927097
31,2020-09-30,GOOGL,0.008843243
32,2020-12-31,GOOGL,0.096304774
33,2021-03-31,GOOGL,0.047004044
34,2021-06-30,GOOGL,0.09675133
35,2021-09-30,GOOGL,0.10933083
36,2020-06-30,GOOG,-0.018927097
37,2020-09-30,GOOG,0.008843243
38,2020-12-31,GOOG,0.096304774
39,2021-03-31,GOOG,0.10933083
40,2021-06-30,GOOG,0.09675133
41,2021-09-30,GOOG,0.11232513
42,2020-06-30,TSLA,0.12236795
43,2020-09-30,TSLA,0.20040113
44,2020-12-31,TSLA,0.16327232
45,2021-03-31,TSLA,0.19331196
46,2021-06-30,TSLA,0.099941224
47,2021-09-30,TSLA,0.11887154
48,2020-06-30,FB,-0.008266389
49,2020-09-30,FB,0.03578466
50,2020-12-31,FB,0.072764456
51,2021-03-31,FB,0.079586
52,2021-06-30,FB,0.12619102
53,2021-09-30,FB,0.03337407
54,2020-07-26,NVDA,0.04726076
55,2020-10-25,NVDA,0.08094001
56,2021-01-31,NVDA,0.081468046
57,2021-05-02,NVDA,0.08661416
58,2021-08-01,NVDA,0.03786996
59,2020-06-30,BRK-B,0.012613267
60,2020-09-30,BRK-B,0.037098914
61,2020-12-31,BRK-B,0.019011825
62,2021-03-31,BRK-B,-0.004831493
63,2021-06-30,BRK-B,0.044942707
64,2021-09-30,BRK-B,0.044707358
65,2020-06-30,JPM,-0.14360273
66,2020-09-30,JPM,0.06874594
67,2020-12-31,JPM,0.04342702
68,2021-03-31,JPM,0.01448369
69,2021-06-30,JPM,0.041989833
70,2021-09-30,JPM,0.04342702
71,2020-06-30,UNH,0.011076361
72,2020-09-30,UNH,0.027712941
73,2020-12-31,UNH,0.011625558
74,2021-03-31,UNH,0.038899332
75,2021-06-30,UNH,0.047393024
76,2021-09-30,UNH,0.06910491
77,2020-05-03,HD,0.029937238
78,2020-08-02,HD,0.05016303
79,2020-11-01,HD,0.035452724
80,2021-01-31,HD,0.027154624
81,2021-05-02,HD,0.05536315
82,2021-08-01,HD,0.041463256
83,2020-06-30,PG,0.014919013
84,2020-09-30,PG,0.014919013
85,2020-12-31,PG,0.011336178
86,2021-03-31,PG,0.012320012
87,2021-06-30,PG,0.012606591
88,2021-09-30,PG,0.013955444
89,2020-06-30,V,0.009700954
90,2020-09-30,V,0.021218926
91,2020-12-31,V,0.012300253
92,2021-03-31,V,0.007947773
93,2021-06-30,V,0.0058508813
94,2021-09-30,V,0.030173361
95,2020-06-30,BAC,-0.3599553
96,2020-09-30,BAC,-0.14032763
97,2020-12-31,BAC,-0.21462494
98,2021-03-31,BAC,-0.08824164
99,2021-06-30,BAC,-0.07540405
100,2021-09-30,BAC,0.0591985
101,2020-05-29,ADBE,0.068463564
102,2020-08-28,ADBE,0.02700165
103,2020-11-27,ADBE,0.056756526
104,2021-03-05,ADBE,0.03177452
105,2021-06-04,ADBE,0.024068624
106,2021-09-03,ADBE,0.033016026
107,2020-06-30,MA,0.045352876
108,2020-09-30,MA,0.043540925
109,2020-12-31,MA,0.0714156
110,2021-03-31,MA,0.051062822
111,2021-06-30,MA,0.06617415
112,2021-09-30,MA,0.038508028
113,2020-06-30,NFLX,0.0063572526
114,2020-09-30,NFLX,-0.00022941828
115,2020-12-31,NFLX,-0.011662066
116,2021-03-31,NFLX,0.02595517
117,2021-06-30,NFLX,0.0026870072
118,2021-09-30,NFLX,0.011597991
119,2020-07-31,CRM,0.054456025
120,2020-10-31,CRM,0.02199018
121,2021-01-31,CRM,-0.013130248
122,2021-04-30,CRM,0.02051282
123,2021-07-31,CRM,0.0015663505
124,2020-06-30,PFE,-0.008158326
125,2020-09-30,PFE,-0.08181584
126,2020-12-31,PFE,-0.008652687
127,2021-03-31,PFE,-0.019029975
128,2021-06-30,PFE,-0.0043251514
129,2021-09-30,PFE,0.020882964
130,2020-06-30,XOM,-0.035720468
131,2020-09-30,XOM,-0.45040184
132,2020-12-31,XOM,-0.5177344
133,2021-03-31,XOM,0.018958509
134,2021-06-30,XOM,-0.00974673
135,2021-09-30,XOM,-0.024318755
136,2020-06-30,TMO,0.047309667
137,2020-09-30,TMO,0.039278775
138,2020-12-31,TMO,0.05523908
139,2021-03-31,TMO,0.06478426
140,2021-06-30,TMO,0.07249743
141,2021-09-30,TMO,0.034694016
142,2020-06-30,CMCSA,-0.0135089755
143,2020-09-30,CMCSA,0.008982509
144,2020-12-31,CMCSA,0.010911822
145,2021-03-31,CMCSA,0.00977391
146,2021-06-30,CMCSA,0.009719193
147,2021-09-30,CMCSA,0.009458184
148,2020-06-30,PYPL,0.026246428
149,2020-09-30,PYPL,0.014429033
150,2020-12-31,PYPL,0.025511205
151,2021-03-31,PYPL,0.0130265355
152,2021-06-30,PYPL,0.017824054
153,2021-09-30,PYPL,0.008478731
154,2020-05-31,ACN,0.042838395
155,2020-08-31,ACN,0.03915924
156,2020-11-30,ACN,0.04488629
157,2021-02-28,ACN,0.04488629
158,2021-05-31,ACN,0.0432778
159,2021-08-31,ACN,0.05817485
160,2020-07-25,CSCO,-0.012187958
161,2020-10-24,CSCO,-0.038362682
162,2021-01-23,CSCO,-0.0063834786
163,2021-05-01,CSCO,-0.012113214
164,2021-07-31,CSCO,0.008039594
165,2020-06-13,PEP,0.03573373
166,2020-09-05,PEP,0.016127288
167,2020-12-31,PEP,0.032911956
168,2021-03-20,PEP,-0.0057203174
169,2021-06-12,PEP,2.2649765e-06
170,2021-09-04,PEP,0.012714982
171,2020-06-30,CVX,-0.1539554
172,2020-09-30,CVX,-0.07294339
173,2020-12-31,CVX,-0.07465589
174,2021-03-31,CVX,0.0018814206
175,2021-06-30,CVX,0.0053376853
176,2021-09-30,CVX,0.0119822025
177,2020-05-31,NKE,-0.07656306
178,2020-08-31,NKE,0.034028113
179,2020-11-30,NKE,0.02363664
180,2021-02-28,NKE,0.025110364
181,2021-05-31,NKE,0.009458572
182,2021-08-31,NKE,0.018141001
183,2020-06-30,KO,-0.007227063
184,2020-09-30,KO,-0.031790078
185,2020-12-31,KO,0.0041591823
186,2021-03-31,KO,-0.029729664
187,2021-06-30,KO,-0.0022524595
188,2021-09-30,KO,-0.0027591586
189,2020-06-30,VZ,-0.0049102902
190,2020-09-30,VZ,-0.0070994496
191,2020-12-31,VZ,-0.007334769
192,2021-03-31,VZ,-0.048692644
193,2021-06-30,VZ,-0.010921776
194,2021-09-30,VZ,-0.010921776
195,2020-06-30,MRK,0.011159956
196,2020-09-30,MRK,0.018569708
197,2020-12-31,MRK,-0.028141499
198,2021-03-31,MRK,0.0026682317
199,2021-06-30,MRK,-0.0011039972
200,2021-09-30,MRK,0.0135611
201,2020-06-30,QCOM,0.007645309
202,2020-09-30,QCOM,0.037395507
203,2020-12-31,QCOM,0.03237143
204,2021-03-31,QCOM,0.025879472
205,2021-06-30,QCOM,0.034828544
206,2021-09-30,QCOM,0.022217155
207,2020-06-30,LLY,-0.0009700656
208,2020-09-30,LLY,0.03076768
209,2020-12-31,LLY,0.04370162
210,2021-03-31,LLY,0.012930781
211,2021-06-30,LLY,0.010048717
212,2021-09-30,LLY,0.029764712
213,2020-06-30,ABBV,-0.13064438
214,2020-09-30,ABBV,0.0043725967
215,2020-12-31,ABBV,-0.10413784
216,2021-03-31,ABBV,0.0058608353
217,2021-06-30,ABBV,-0.009246349
218,2021-09-30,ABBV,0.0021065176
219,2020-06-30,WFC,-0.41205466
220,2020-09-30,WFC,-0.13547492
221,2020-12-31,WFC,-0.15931535
222,2021-03-31,WFC,0.017761856
223,2021-06-30,WFC,0.01954177
224,2021-09-30,WFC,0.054754615
225,2020-07-31,WMT,0.02178672
226,2020-10-31,WMT,0.024200886
227,2021-01-31,WMT,0.07171443
228,2021-04-30,WMT,0.014827549
229,2021-07-31,WMT,0.021128684
230,2020-06-30,INTC,0.022013783
231,2020-09-30,INTC,0.061197698
232,2020-12-31,INTC,0.059706092
233,2021-03-31,INTC,0.06973967
234,2021-06-30,INTC,0.015394986
235,2021-09-30,INTC,0.014530301
236,2020-06-30,DHR,-0.00011217594
237,2020-09-30,DHR,0.028457522
238,2020-12-31,DHR,0.02954185
239,2021-03-31,DHR,0.039731532
240,2021-06-30,DHR,0.042181283
241,2021-09-30,DHR,0.03982508
242,2020-06-30,MCD,-0.026935875
243,2020-09-30,MCD,-0.029115617
244,2020-12-31,MCD,-0.008179724
245,2021-03-31,MCD,-0.0339033
246,2021-06-30,MCD,0.00726676
247,2021-09-30,MCD,-0.0057958364
248,2020-06-30,AMD,0.017349571
249,2020-09-30,AMD,0.11927596
250,2020-12-31,AMD,0.088056296
251,2021-03-31,AMD,0.073397696
252,2021-06-30,AMD,0.083366245
253,2021-09-30,AMD,0.06980121
254,2020-06-30,TXN,0.016115874
255,2020-09-30,TXN,0.041781425
256,2020-12-31,TXN,0.0256823
257,2021-03-31,TXN,0.022819847
258,2021-06-30,TXN,0.023611069
259,2021-09-30,TXN,0.040953964
260,2020-07-31,LOW,0.028408617
261,2020-10-30,LOW,0.010319948
262,2021-01-29,LOW,-0.0036744475
263,2021-04-30,LOW,0.048419863
264,2021-07-30,LOW,0.04149866
265,2020-06-30,T,-0.06209123
266,2020-09-30,T,-0.063549995
267,2020-12-31,T,-0.21010077
268,2021-03-31,T,-0.10264927
269,2021-06-30,T,-0.04019493
270,2021-09-30,T,-0.14672506
271,2020-07-31,INTU,0.06875101
272,2020-10-31,INTU,0.05896446
273,2021-01-31,INTU,0.031950444
274,2021-04-30,INTU,0.048550785
275,2021-07-31,INTU,0.05748993
276,2021-10-31,INTU,-0.001392901
277,2020-06-30,NEE,0.0065903068
278,2020-09-30,NEE,0.009054959
279,2020-12-31,NEE,-0.070168376
280,2021-03-31,NEE,0.009183854
281,2021-06-30,NEE,-0.06777394
282,2021-09-30,NEE,0.009174764
283,2020-07-31,MDT,-0.017990172
284,2020-10-30,MDT,0.010839999
285,2021-01-29,MDT,0.010586441
286,2021-04-30,MDT,-0.012750268
287,2021-07-30,MDT,0.020668447
288,2020-06-30,UNP,0.016756177
289,2020-09-30,UNP,0.022861958
290,2020-12-31,UNP,0.027406812
291,2021-03-31,UNP,0.019701004
292,2021-06-30,UNP,0.018872619
293,2021-09-30,UNP,0.026764333
294,2020-05-31,ORCL,0.0140815675
295,2020-08-31,ORCL,0.023024946
296,2020-11-30,ORCL,0.009461969
297,2021-02-28,ORCL,0.06250894
298,2021-05-31,ORCL,0.01655522
299,2021-08-31,ORCL,0.069850266
300,2020-06-30,HON,0.013222456
301,2020-09-30,HON,0.0063992143
302,2020-12-31,HON,0.029969573
303,2021-03-31,HON,0.018832117
304,2021-06-30,HON,0.008670241
305,2021-09-30,HON,0.012975752
306,2020-06-30,UPS,0.00011917949
307,2020-09-30,UPS,0.020326376
308,2020-12-31,UPS,0.01100409
309,2021-03-31,UPS,0.038939178
310,2021-06-30,UPS,0.001332581
311,2021-09-30,UPS,0.030976027
312,2020-07-26,AMAT,0.01045236
313,2020-10-25,AMAT,0.029484332
314,2021-01-31,AMAT,0.016828358
315,2021-05-02,AMAT,0.030000776
316,2021-08-01,AMAT,0.035355687
317,2020-06-30,PM,0.008292288
318,2020-09-30,PM,-0.021390557
319,2020-12-31,PM,0.024296522
320,2021-03-31,PM,-0.022307277
321,2021-06-30,PM,-0.04546565
322,2021-09-30,PM,-0.011813343
323,2020-06-30,MS,-0.015764713
324,2020-09-30,MS,0.0049349964
325,2020-12-31,MS,0.009830743
326,2021-03-31,MS,-0.014070928
327,2021-06-30,MS,-0.0036106706
328,2021-09-30,MS,-0.014187455
329,2020-06-30,C,-0.1474235
330,2020-09-30,C,-0.08811432
331,2020-12-31,C,-0.0707373
332,2021-03-31,C,0.0100899935
333,2021-06-30,C,-0.040677726
334,2021-09-30,C,-0.16687536
335,2020-06-30,NOW,0.066625535
336,2020-09-30,NOW,0.055204183
337,2020-12-31,NOW,0.008206189
338,2021-03-31,NOW,0.059149265
339,2021-06-30,NOW,0.04513222
340,2021-09-30,NOW,0.066988826
341,2020-06-30,SBUX,-0.3999483
342,2020-09-30,SBUX,-0.028582096
343,2020-12-31,SBUX,0.005054027
344,2021-03-31,SBUX,0.012899846
345,2021-06-30,SBUX,0.012422532
346,2021-09-30,SBUX,0.037608296
347,2020-06-30,GS,-0.1211651
348,2020-09-30,GS,-0.09661758
349,2020-12-31,GS,-0.011828184
350,2021-03-31,GS,-0.0266549
351,2021-06-30,GS,-0.026135743
352,2021-09-30,GS,-0.014702618
353,2020-06-30,BLK,0.012644857
354,2020-09-30,BLK,0.042370856
355,2020-12-31,BLK,0.04930994
356,2021-03-31,BLK,0.03862959
357,2021-06-30,BLK,0.043009877
358,2021-09-30,BLK,0.047427356
359,2020-06-30,BMY,-0.14597219
360,2020-09-30,BMY,-0.004008174
361,2020-12-31,BMY,0.0224303
362,2021-03-31,BMY,-0.0041175485
363,2021-06-30,BMY,0.0011482239
364,2021-09-30,BMY,0.0073668957
365,2020-06-30,RTX,-0.08523244
366,2020-09-30,RTX,-0.09123069
367,2020-12-31,RTX,-0.037486017
368,2021-03-31,RTX,-0.0011808276
369,2021-06-30,RTX,0.015059233
370,2021-09-30,RTX,0.016593158
371,2020-06-30,ISRG,-0.007624984
372,2020-09-30,ISRG,-0.010809243
373,2020-12-31,ISRG,0.027496785
374,2021-03-31,ISRG,0.0269517
375,2021-06-30,ISRG,0.078518
376,2021-09-30,ISRG,0.043085754
377,2020-06-30,CVS,0.013036549
378,2020-09-30,CVS,0.0069862306
379,2020-12-31,CVS,-0.03844607
380,2021-03-31,CVS,0.008265734
381,2021-06-30,CVS,0.008813798
382,2021-09-30,CVS,0.03821504
383,2020-06-30,BA,-0.4702323
384,2020-09-30,BA,-0.17937577
385,2020-12-31,BA,-0.3227142
386,2021-03-31,BA,-0.21745062
387,2021-06-30,BA,-0.04658997
388,2021-09-30,BA,-0.12376344
389,2020-05-02,TGT,0.008817673
390,2020-08-01,TGT,0.023994207
391,2020-10-31,TGT,0.034311414
392,2021-01-30,TGT,0.024994314
393,2021-05-01,TGT,0.021194547
394,2021-07-31,TGT,0.040928543
395,2020-06-30,SCHW,-0.37001956
396,2020-09-30,SCHW,-0.34384155
397,2020-12-31,SCHW,-0.21801668
398,2021-03-31,SCHW,-0.002889812
399,2021-06-30,SCHW,-0.0890553
400,2021-09-30,SCHW,-0.092944264
401,2020-06-30,AMT,0.037924588
402,2020-09-30,AMT,0.028060466
403,2020-12-31,AMT,0.022752523
404,2021-03-31,AMT,0.014872253
405,2021-06-30,AMT,0.032989502
406,2021-09-30,AMT,0.030046254
407,2020-06-30,AMGN,0.025313139
408,2020-09-30,AMGN,0.030655116
409,2020-12-31,AMGN,0.083566576
410,2021-03-31,AMGN,0.02123481
411,2021-06-30,AMGN,0.0047557354
412,2021-09-30,AMGN,0.019402891
413,2020-06-30,AXP,-0.097626746
414,2020-09-30,AXP,0.015708625
415,2020-12-31,AXP,0.017800033
416,2021-03-31,AXP,0.0037910044
417,2021-06-30,AXP,0.030601919
418,2021-09-30,AXP,0.027013361
419,2020-06-30,SPGI,0.02572596
420,2020-09-30,SPGI,0.06459433
421,2020-12-31,SPGI,0.057531327
422,2021-03-31,SPGI,0.02633214
423,2021-06-30,SPGI,-0.008000553
424,2021-09-30,SPGI,0.05444035
425,2020-06-30,PLD,0.01684311
426,2020-09-30,PLD,0.04225263
427,2020-12-31,PLD,0.0339078
428,2021-03-31,PLD,0.013060033
429,2021-06-30,PLD,0.03152579
430,2021-09-30,PLD,0.032162428
431,2020-06-30,GE,-0.16823506
432,2020-09-30,GE,-0.07717049
433,2020-12-31,GE,0.017404556
434,2021-03-31,GE,-0.04395902
435,2021-06-30,GE,-0.037483573
436,2021-09-30,GE,-0.0006830096
437,2020-06-30,CAT,0.017996967
438,2020-09-30,CAT,-0.00085246563
439,2020-12-31,CAT,0.04651642
440,2021-03-31,CAT,0.028794408
441,2021-06-30,CAT,0.014189839
442,2021-09-30,CAT,0.028794408
443,2020-06-30,ZTS,0.022231013
444,2020-09-30,ZTS,0.027234972
445,2020-12-31,ZTS,0.028593153
446,2021-03-31,ZTS,0.031645566
447,2021-06-30,ZTS,0.032774597
448,2021-09-30,ZTS,0.028923184
449,2020-06-30,ANTM,0.039537877
450,2020-09-30,ANTM,0.017110169
451,2020-12-31,ANTM,-0.019194305
452,2021-03-31,ANTM,0.04042691
453,2021-06-30,ANTM,0.05278611
454,2021-09-30,ANTM,0.042035818
455,2020-06-30,MMM,0.0108985305
456,2020-09-30,MMM,0.03622359
457,2020-12-31,MMM,0.037492156
458,2021-03-31,MMM,0.02865073
459,2021-06-30,MMM,0.03834653
460,2021-09-30,MMM,0.03276956
461,2020-05-03,DE,0.02606219
