Open,High,Low,Close,Adj Close,Volume,date
325.915000221946,327.8340897993608,324.1100019975142,326.40590737082744,325.43971946022725,1483809.0909090908,2021-08-31
286.6905014038086,288.54700164794923,284.6189987182617,286.13800354003905,284.4879577636719,1954570.0,2021-05-31
254.2984209562603,256.75683914987667,252.24894794664885,254.74368205823396,252.49325240285773,1812047.3684210526,2021-02-28
239.66650009155273,242.30700073242187,237.70049972534179,240.27949981689454,237.34578475952148,1769100.0,2020-11-30
233.26619030180433,235.0828559512184,232.1480967203776,233.8999989827474,230.14297921316964,1501266.6666666667,2020-08-31
188.71850051879883,190.8595001220703,186.69499969482422,189.0239990234375,185.30889282226562,2093675.0,2020-05-31
207.9373674894634,209.68473574989721,205.6021045885588,207.3352629009046,202.34724506578948,2219378.947368421,2020-02-29
193.7879981994629,195.08800048828124,192.89500045776367,194.45849990844727,189.04938735961915,1517450.0,2019-11-30
193.022272976962,194.76181654496625,191.20727400346235,193.15136233243075,186.97527798739347,1854804.5454545454,2019-08-31
176.5672739202326,178.1518194025213,175.53591017289594,177.06636463512075,171.4046075994318,1776031.8181818181,2019-05-31
158.0294727526213,158.9768419767681,157.3989482678865,158.36000141344573,152.03710295024672,1796194.7368421052,2019-02-28
160.6423812139602,162.23619006928942,159.35333324614027,160.9557139078776,154.5291762579055,2267533.3333333335,2018-11-30
163.2991313105044,164.2986947764521,162.7091296652089,163.5595650050951,155.60684137759,1636556.5217391304,2018-08-31
154.2622736150568,155.28954384543678,153.3286368630149,154.48681848699397,146.97523429177025,1690295.4545454546,2018-05-31
158.50894727204977,160.51894820363898,156.77368404990747,158.53421020507812,149.50654842979029,2308636.8421052634,2018-02-28
145.25809442429315,146.12190609886534,144.31380934942337,145.51999845958892,137.2334202357701,1624761.9047619049,2017-11-30
129.1373921269956,129.74869570524797,128.58130347210428,129.17608642578125,120.65164914338484,1504560.8695652173,2017-08-31
121.60000055486506,122.1922721862793,120.95863619717684,121.72545450383967,113.69268937544389,1840590.9090909092,2017-05-31
118.27947395726254,119.28263051886307,117.81684192858245,118.81210527921978,109.83212240118729,2009157.894736842,2017-02-28
